Wallet Address,Farm 1,Farm 2,Farm 3,Farm 4,Total ArcX Distribution,ArcX Price,Total USDC
0x25ae7b45d8646580dfcae403d29164729eb8642f,0.20295,0.18182,0,0,0.38477,2500,961.925
0x9b616ac1d31f17be9b23560d93699ca7732e2808,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x2ae1d88af6d27cdf7c5c3799c8bf88191e2686d6,0.20295,0,0,0,0.20295,2500,507.375
0x0eb4add4ba497357546da7f5d12d39587ca24606,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0xbbcb54119492581766c1256ffbe8f816c13f26e2,0.20295,0,0,0,0.20295,2500,507.375
0xcbf5b0adf0f58cd1e24249d15ceb31e8624d1a94,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x569d4c513673f8a611cf4dde30563498642a8579,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x10031a8001d7ac0bf507cad46ff5e835c339d89a,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x09b2b64a3f1084bc15c7ee33be7f5ce3414a4a60,0.20295,0,0,0,0.20295,2500,507.375
0x63dae0946a44eeead00c8b30ec206fda63f7dfe1,0.20295,0,0,0,0.20295,2500,507.375
0x7c8bc95ebe9c66853a539fdb896f12f555a8ca20,0.20295,0.18182,0,0,0.38477,2500,961.925
0xad91bae71e4569ec5ff09be170e223cc6b388ab0,0.20295,0,0,0,0.20295,2500,507.375
0x8def2ab08c95d8e0b1c8c7708d0e0979ceb8c7ff,0.20295,0.18182,0,0,0.38477,2500,961.925
0x6103a9e1ccb543e7488283c11b220943c7f85cf5,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x4cbf2e8b0797efb9a9b7bd219f733647a17228e6,0.20295,0,0,0,0.20295,2500,507.375
0xcc727fcbd0232ff9168b6ef361874c1da5183ac2,0.20295,0.18182,0,0,0.38477,2500,961.925
0xc50eaaee441566b4ef4f1e3270d19f24223cddf4,0.20295,0.18182,0,0,0.38477,2500,961.925
0x10a8bda4459b8ed79529b59c5c9a6b6a530bc5e5,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0xa4db6e848f1c4af89d2d4d4cc350acbc1f5f93e3,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x336d4afd4c1e0b82a2bb38859c234c54edf0a983,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0xf9989443b374a81656855d2960151e0614a331e3,0.20295,0.18182,0,0,0.38477,2500,961.925
0x627ad966fd6ba19f039f60bb98ae9995d1d4f91c,0.20295,0,0,0,0.20295,2500,507.375
0x2669a693ebdf20b1333dcc8ef892fd9ae52d3ae9,0.20295,0,0,0,0.20295,2500,507.375
0x88b7a44cecd526cd2d424b0a4cc2bbb26341dd8f,0.20295,0,0,0,0.20295,2500,507.375
0x1fd230a8ff8512b18ac254412dc47937540985c0,0.20295,0,0,0,0.20295,2500,507.375
0xf0462427a46a36baa325f4bbd3789209116cdbe0,0.20295,0.18182,0,0,0.38477,2500,961.925
0xfccba075a3f25208439e8f1a9e00a87fb861e248,0.20295,0.18182,0,0,0.38477,2500,961.925
0xa6b49397ce21bb62200e914f41bf371e5940bb41,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x90ef6c7b9a4075f97d963b5592c02c921456271b,0.20295,0,0,0,0.20295,2500,507.375
